EAST,NORTH,NOTUSED,OZONugperm3,PM10ugperm3,PM1ugperm3,PM2.5ugperm3,RELHUMpct,TEMP C,time
528.213216,5126.182914,17150.0,0,13.0,5.0,7.0,113.67,8.8,2014-11-01 00:08:35
528.211642,5126.185363,15680.0,0,14.0,5.0,7.0,111.89,9.04,2014-11-01 00:18:35
528.213566,5126.184341,14700.0,0,10.0,5.0,7.0,109.78,9.17,2014-11-01 00:28:36
528.213566,5126.184341,15435.0,0,11.0,5.0,7.0,112.34,8.79,2014-11-01 00:38:36
528.212302,5126.182914,16415.0,0,12.0,5.0,7.0,112.63,8.72,2014-11-01 00:48:36
528.212302,5126.182914,16170.0,0,10.0,5.0,7.0,111.71,8.76,2014-11-01 00:58:36
528.212302,5126.182914,19110.0,0,13.0,5.0,6.0,109.19,9.09,2014-11-01 01:08:36
528.212302,5126.182914,15680.0,0,17.0,5.0,7.0,108.93,8.99,2014-11-01 01:18:36
528.215084,5126.182704,18620.0,0,10.0,5.0,7.0,108.72,8.99,2014-11-01 01:28:36
528.216267,5126.185377,16170.0,0,9.0,5.0,7.0,109.9,8.75,2014-11-01 01:38:36
528.216267,5126.185377,14700.0,0,11.0,5.0,6.0,107.88,9.06,2014-11-01 01:48:36
528.216267,5126.185377,13965.0,0,10.0,5.0,6.0,108.62,8.86,2014-11-01 01:58:36
528.212594,5126.182454,13720.0,0,14.0,5.0,5.0,109.82,8.67,2014-11-01 02:08:36
528.206018,5126.17889,13720.0,0,11.0,4.0,6.0,108.45,8.81,2014-11-01 02:18:37
528.213383,5126.17367,12985.0,0,12.0,5.0,6.0,106.4,9.04,2014-11-01 02:28:37
528.213383,5126.17367,12985.0,0,9.0,4.0,6.0,108.13,8.67,2014-11-01 02:38:37
528.214503,5126.180335,13720.0,0,13.0,5.0,6.0,111.25,8.25,2014-11-01 02:48:37
528.213747,5126.181647,12005.0,0,11.0,5.0,6.0,108.9,8.55,2014-11-01 02:58:37
528.213747,5126.181647,12495.0,0,10.0,5.0,7.0,108.4,8.55,2014-11-01 03:08:37
528.21147,5126.184697,10535.0,0,14.0,5.0,6.0,104.89,9.03,2014-11-01 03:18:37
528.21147,5126.184697,12740.0,0,12.0,5.0,6.0,105.3,8.9,2014-11-01 03:28:37
528.210594,5126.183288,12985.0,0,12.0,5.0,6.0,109.07,8.27,2014-11-01 03:38:37
528.210594,5126.183288,12740.0,0,17.0,5.0,6.0,107.78,8.49,2014-11-01 03:48:37
528.212586,5126.184256,10535.0,0,9.0,5.0,6.0,103.4,9.11,2014-11-01 03:58:37
528.212772,5126.184398,11515.0,0,12.0,4.0,5.0,103.8,8.92,2014-11-01 04:08:38
528.212772,5126.184398,12740.0,0,9.0,4.0,6.0,108.75,8.15,2014-11-01 04:18:38
528.211919,5126.185163,11760.0,0,10.0,4.0,7.0,107.68,8.33,2014-11-01 04:28:38
528.212355,5126.185113,10290.0,0,16.0,4.0,5.0,105.36,8.63,2014-11-01 04:38:38
528.21434,5126.184571,10290.0,0,9.0,4.0,6.0,102.23,9.04,2014-11-01 04:48:38
528.212688,5126.18583,11760.0,0,10.0,5.0,6.0,101.97,9.03,2014-11-01 04:58:38
528.211694,5126.185234,12495.0,0,10.0,5.0,5.0,102.91,8.87,2014-11-01 05:08:38
528.211694,5126.185234,11270.0,0,10.0,5.0,5.0,106.14,8.43,2014-11-01 05:18:38
528.211694,5126.185234,11515.0,0,12.0,4.0,5.0,111.61,7.59,2014-11-01 05:28:38
528.206108,5126.176532,10780.0,0,10.0,5.0,6.0,107.09,8.34,2014-11-01 05:48:38
528.206627,5126.176689,10290.0,0,8.0,4.0,6.0,105.47,8.44,2014-11-01 05:58:39
528.207847,5126.181097,11270.0,0,14.0,4.0,6.0,109.6,7.83,2014-11-01 06:08:39
